Area;Indicator Name;Year;Fertilizer (kg/ha)
Finland;Fertilizer consumption (kilograms per hectare of arable land);1967;"134,75"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1968;"152,13"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1969;"178,47"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1970;"188,82"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1971;"198,24"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1972;"205,09"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1973;"232,86"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1974;242
Finland;Fertilizer consumption (kilograms per hectare of arable land);1975;"210,77"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1976;"171,32"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1977;"181,21"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1978;"195,78"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1979;"204,13"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1980;"206,41"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1981;"194,9"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1982;"226,78"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1983;"225,84"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1984;"215,44"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1985;"219,13"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1986;"225,31"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1987;"228,9"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1988;"219,31"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1989;"227,96"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1990;"195,09"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1991;"147,43"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1992;"151,04"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1993;"149,74"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1994;"154,41"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1995;"158,99"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1996;"147,41"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1997;"147,72"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1998;"142,58"
Finland;Fertilizer consumption (kilograms per hectare of arable land);1999;"142,39"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2000;"136,65"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2001;"135,41"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2002;"129,43"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2003;"126,6"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2004;"126,16"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2005;"121,38"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2006;"113,94"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2007;"106,77"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2008;"95,94"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2009;"76,77"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2010;"100,54"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2011;"86,19"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2012;"86,24"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2013;"87,35"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2014;"92,74"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2015;"89,2"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2016;"86,16"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2017;"89,54"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2018;"91,66"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2019;"95,28"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2020;"92,79"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2021;"98,08"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2022;"69,53"
Finland;Fertilizer consumption (kilograms per hectare of arable land);2023;"87,17"
France;Fertilizer consumption (kilograms per hectare of arable land);1961;"123,59"
France;Fertilizer consumption (kilograms per hectare of arable land);1962;"134,48"
France;Fertilizer consumption (kilograms per hectare of arable land);1963;"148,14"
France;Fertilizer consumption (kilograms per hectare of arable land);1964;"161,19"
France;Fertilizer consumption (kilograms per hectare of arable land);1965;"164,89"
France;Fertilizer consumption (kilograms per hectare of arable land);1966;"182,97"
France;Fertilizer consumption (kilograms per hectare of arable land);1967;"210,03"
France;Fertilizer consumption (kilograms per hectare of arable land);1968;"230,04"
France;Fertilizer consumption (kilograms per hectare of arable land);1969;"239,37"
France;Fertilizer consumption (kilograms per hectare of arable land);1970;"267,06"
France;Fertilizer consumption (kilograms per hectare of arable land);1971;"290,8"
France;Fertilizer consumption (kilograms per hectare of arable land);1972;"311,35"
France;Fertilizer consumption (kilograms per hectare of arable land);1973;"340,84"
France;Fertilizer consumption (kilograms per hectare of arable land);1974;"269,47"
France;Fertilizer consumption (kilograms per hectare of arable land);1975;"270,37"
France;Fertilizer consumption (kilograms per hectare of arable land);1976;"298,02"
France;Fertilizer consumption (kilograms per hectare of arable land);1977;"302,91"
France;Fertilizer consumption (kilograms per hectare of arable land);1978;"323,72"
France;Fertilizer consumption (kilograms per hectare of arable land);1979;"339,32"
France;Fertilizer consumption (kilograms per hectare of arable land);1980;"321,01"
France;Fertilizer consumption (kilograms per hectare of arable land);1981;"317,79"
France;Fertilizer consumption (kilograms per hectare of arable land);1982;"315,62"
France;Fertilizer consumption (kilograms per hectare of arable land);1983;"330,13"
France;Fertilizer consumption (kilograms per hectare of arable land);1984;"324,56"
France;Fertilizer consumption (kilograms per hectare of arable land);1985;"317,73"
France;Fertilizer consumption (kilograms per hectare of arable land);1986;"326,27"
France;Fertilizer consumption (kilograms per hectare of arable land);1987;"320,27"
France;Fertilizer consumption (kilograms per hectare of arable land);1988;"336,82"
France;Fertilizer consumption (kilograms per hectare of arable land);1989;"344,63"
France;Fertilizer consumption (kilograms per hectare of arable land);1990;"319,53"
France;Fertilizer consumption (kilograms per hectare of arable land);1991;"312,09"
France;Fertilizer consumption (kilograms per hectare of arable land);1992;"253,83"
France;Fertilizer consumption (kilograms per hectare of arable land);1993;"255,3"
France;Fertilizer consumption (kilograms per hectare of arable land);1994;"260,4"
France;Fertilizer consumption (kilograms per hectare of arable land);1995;"270,41"
France;Fertilizer consumption (kilograms per hectare of arable land);1996;"278,17"
France;Fertilizer consumption (kilograms per hectare of arable land);1997;"273,06"
France;Fertilizer consumption (kilograms per hectare of arable land);1998;"264,06"
France;Fertilizer consumption (kilograms per hectare of arable land);1999;259
France;Fertilizer consumption (kilograms per hectare of arable land);2000;"225,82"
France;Fertilizer consumption (kilograms per hectare of arable land);2001;"227,73"
France;Fertilizer consumption (kilograms per hectare of arable land);2002;"211,28"
France;Fertilizer consumption (kilograms per hectare of arable land);2003;"223,36"
France;Fertilizer consumption (kilograms per hectare of arable land);2004;"212,11"
France;Fertilizer consumption (kilograms per hectare of arable land);2005;"192,46"
France;Fertilizer consumption (kilograms per hectare of arable land);2006;"190,38"
France;Fertilizer consumption (kilograms per hectare of arable land);2007;"209,34"
France;Fertilizer consumption (kilograms per hectare of arable land);2008;"152,45"
France;Fertilizer consumption (kilograms per hectare of arable land);2009;"120,56"
France;Fertilizer consumption (kilograms per hectare of arable land);2010;"150,54"
France;Fertilizer consumption (kilograms per hectare of arable land);2011;"141,3"
France;Fertilizer consumption (kilograms per hectare of arable land);2012;"160,79"
France;Fertilizer consumption (kilograms per hectare of arable land);2013;"169,42"
France;Fertilizer consumption (kilograms per hectare of arable land);2014;"168,43"
France;Fertilizer consumption (kilograms per hectare of arable land);2015;"170,4"
France;Fertilizer consumption (kilograms per hectare of arable land);2016;"163,14"
France;Fertilizer consumption (kilograms per hectare of arable land);2017;"177,62"
France;Fertilizer consumption (kilograms per hectare of arable land);2018;"170,97"
France;Fertilizer consumption (kilograms per hectare of arable land);2019;"157,72"
France;Fertilizer consumption (kilograms per hectare of arable land);2020;"179,54"
France;Fertilizer consumption (kilograms per hectare of arable land);2021;"171,65"
France;Fertilizer consumption (kilograms per hectare of arable land);2022;"130,62"
France;Fertilizer consumption (kilograms per hectare of arable land);2023;"131,32"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1961;"268,07"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1962;"291,79"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1963;"304,44"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1964;"324,98"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1965;"345,25"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1966;"337,9"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1967;"349,53"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1968;"354,47"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1969;"380,09"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1970;"398,56"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1971;"409,58"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1972;"404,6"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1973;"411,67"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1974;"423,35"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1975;"409,64"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1976;"430,98"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1977;"418,41"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1978;"422,69"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1979;"440,35"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1980;"429,7"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1981;"404,55"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1982;"396,96"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1983;"383,34"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1984;"396,68"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1985;"403,34"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1986;"404,22"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1987;"402,68"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1988;"408,01"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1989;"384,21"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1990;"279,9"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1991;"256,83"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1992;248
Germany;Fertilizer consumption (kilograms per hectare of arable land);1993;"228,86"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1994;"246,2"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1995;"238,36"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1996;"238,19"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1997;"241,45"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1998;"247,36"
Germany;Fertilizer consumption (kilograms per hectare of arable land);1999;"256,57"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2000;"232,36"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2001;"221,23"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2002;"220,07"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2003;"219,7"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2004;"215,13"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2005;"208,76"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2006;"194,42"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2007;"221,87"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2008;"159,58"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2009;"181,41"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2010;"211,6"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2011;"191,49"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2012;"198,92"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2013;"203,47"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2014;"217,7"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2015;"202,27"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2016;"197,23"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2017;"178,12"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2018;"166,48"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2019;"174,1"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2020;"163,24"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2021;"130,14"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2022;"116,87"
Germany;Fertilizer consumption (kilograms per hectare of arable land);2023;"128,58"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1961;"56,81"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1962;"69,16"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1963;"71,49"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1964;"82,11"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1965;"83,81"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1966;"87,33"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1967;"91,05"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1968;"103,28"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1969;"106,62"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1970;"111,84"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1971;"116,22"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1972;"121,5"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1973;"140,46"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1974;"144,6"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1975;"159,13"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1976;"170,26"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1977;"175,66"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1978;"198,24"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1979;"198,36"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1980;"181,47"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1981;"198,4"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1982;"201,71"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1983;"220,76"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1984;"222,66"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1985;"245,64"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1986;"234,37"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1987;"210,94"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1988;"226,62"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1989;"224,51"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1990;"240,08"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1991;"227,45"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1992;"219,27"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1993;"179,29"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1994;"185,83"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1995;"179,01"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1996;"199,29"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1997;"180,71"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1998;"169,54"
Greece;Fertilizer consumption (kilograms per hectare of arable land);1999;"169,8"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2000;"166,36"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2001;"158,46"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2002;"154,11"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2003;"152,66"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2004;"156,65"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2005;"138,72"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2006;"133,32"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2007;"139,71"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2008;"118,22"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2009;"108,76"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2010;"126,19"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2011;"110,03"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2012;"109,23"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2013;"117,23"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2014;"123,06"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2015;"118,27"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2016;"125,66"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2017;"129,95"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2018;"134,77"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2019;"141,51"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2020;"177,26"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2021;"188,19"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2022;"142,78"
Greece;Fertilizer consumption (kilograms per hectare of arable land);2023;"142,18"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1961;"41,44"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1962;"52,86"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1963;"57,67"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1964;"65,64"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1965;"68,36"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1966;"74,11"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1967;"98,49"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1968;"120,8"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1969;"134,34"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1970;"161,21"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1971;"183,95"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1972;"196,38"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1973;"232,26"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1974;"260,53"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1975;"296,07"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1976;"271,72"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1977;"297,95"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1978;"305,07"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1979;"298,17"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1980;"278,32"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1981;"295,25"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1982;"304,5"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1983;"316,01"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1984;"303,14"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1985;"265,68"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1986;"274,31"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1987;"271,9"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1988;"280,7"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1989;"238,68"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1990;"134,54"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1991;"64,5"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1992;"39,86"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1993;"61,63"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1994;"66,06"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1995;"76,6"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1996;"94,56"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1997;"88,61"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1998;"76,9"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);1999;"89,84"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2000;"90,62"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2001;"98,51"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2002;"94,88"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2003;"95,5"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2004;"98,52"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2005;"85,2"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2006;"99,2"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2007;"110,41"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2008;"96,7"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2009;"77,48"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2010;"84,33"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2011;"93,29"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2012;"99,62"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2013;"113,56"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2014;"112,71"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2015;"114,15"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2016;"138,17"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2017;"152,38"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2018;"150,86"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2019;"145,99"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2020;"162,62"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2021;"165,49"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2022;"108,33"
Hungary;Fertilizer consumption (kilograms per hectare of arable land);2023;"89,53"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1961;"310,99"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1962;"358,63"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1963;"385,38"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1964;"394,09"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1965;"383,18"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1966;"566,61"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1967;"622,8"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1968;"681,59"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1969;"741,32"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1970;"795,38"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1971;"784,33"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1972;"1036,69"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1973;"1046,35"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1974;"765,14"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1975;"943,23"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1976;"1028,52"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1977;"1215,92"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1978;"1318,94"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1979;"1142,99"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1980;"1085,64"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1981;"1115,23"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1982;"1209,98"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1983;"1362,41"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1984;"1314,74"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1985;"1247,58"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1986;"1539,71"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1987;"1509,36"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1988;"1616,01"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1989;"1704,39"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1990;"1754,43"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1991;"1697,73"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1992;"1700,18"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1993;"1772,72"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1994;"1878,59"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1995;"1886,03"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1996;"1689,37"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1997;"1553,67"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1998;"1596,77"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);1999;"1481,8"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2000;"1228,05"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2001;"1158,12"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2002;"1153,71"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2003;"1187,66"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2004;"1077,45"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2005;"1109,73"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2006;"1066,1"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2007;"973,62"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2008;"857,2"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2009;"1123,8"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2010;"1065,37"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2011;"995,71"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2012;"1138,78"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2013;"1110,33"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2014;"991,4"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2015;"1019,32"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2016;"1023,29"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2017;"1127,28"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2018;"1275,27"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2019;"1183,58"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2020;"1220,26"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2021;"1303,11"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2022;"1056,16"
Ireland;Fertilizer consumption (kilograms per hectare of arable land);2023;"895,87"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1961;"67,8"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1962;"69,36"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1963;"68,76"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1964;"74,64"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1965;"86,4"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1966;"89,3"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1967;"90,61"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1968;"93,93"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1969;"100,74"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1970;"111,67"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1971;"152,43"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1972;"164,09"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1973;"152,01"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1974;"136,5"
Italy;Fertilizer consumption (kilograms per hectare of arable land);1975;"159,67"
