Area;Indicator Name;Year;Fertilizer (kg/ha)
Austria;Fertilizer consumption (kilograms per hectare of arable land);1975;"207,12"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1976;"244,43"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1977;"246,22"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1978;"253,6"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1979;"264,54"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1980;"265,17"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1981;"254,88"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1982;"231,77"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1983;"266,68"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1984;"270,1"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1985;"268,29"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1986;"217,1"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1987;"207,64"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1988;"216,19"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1989;"187,94"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1990;"212,69"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1991;"199,79"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1992;"185,93"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1993;"184,64"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1994;"175,69"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1995;"167,61"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1996;"168,32"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1997;"187,31"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1998;"175,45"
Austria;Fertilizer consumption (kilograms per hectare of arable land);1999;"165,99"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2000;"161,14"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2001;"157,33"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2002;"162,33"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2003;"137,42"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2004;"137,52"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2005;"131,7"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2006;"130,27"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2007;"136,04"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2008;"167,18"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2009;"86,58"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2010;"99,81"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2011;"132,73"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2012;"115,41"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2013;"130,91"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2014;"130,88"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2015;"148,72"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2016;"137,8"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2017;"141,03"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2018;"133,15"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2019;"118,51"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2020;"137,97"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2021;"128,26"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2022;"97,42"
Austria;Fertilizer consumption (kilograms per hectare of arable land);2023;"106,42"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1992;"229,29"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1993;"123,2"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1994;"86,75"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1995;"83,92"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1996;"124,72"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1997;"138,46"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1998;"149,51"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);1999;"127,95"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2000;"131,26"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2001;"131,92"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2002;"135,99"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2003;"135,63"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2004;"146,92"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2005;"167,7"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2006;"231,97"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2007;"218,35"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2008;"237,42"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2009;"281,11"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2010;"270,46"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2011;"303,89"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2012;"271,39"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2013;"256,34"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2014;"215,22"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2015;"194,19"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2016;"146,62"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2017;"142,45"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2018;"156,19"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2019;"153,88"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2020;"180,73"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2021;"169,36"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2022;"195,41"
Belarus;Fertilizer consumption (kilograms per hectare of arable land);2023;"198,94"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2002;"326,22"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2003;"339,42"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2004;"337,28"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2005;"332,4"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2006;"325,87"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2007;"335,09"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2008;"224,49"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2009;"282,01"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2010;"324,95"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2011;"317,81"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2012;"328,55"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2013;"321,36"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2014;"304,03"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2015;"305,48"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2016;"275,05"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2017;"269,74"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2018;"266,76"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2019;"265,88"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2020;"257,64"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2021;"252,75"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2022;"198,27"
Belgium;Fertilizer consumption (kilograms per hectare of arable land);2023;"191,66"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1961;"33,8"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1962;"36,3"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1963;"42,28"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1964;"67,91"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1965;"86,57"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1966;"114,46"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1967;"146,43"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1968;"202,77"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1969;"166,49"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1970;"154,23"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1971;"153,89"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1972;"156,51"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1973;"153,62"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1974;"138,46"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1975;"171,61"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1976;"166,97"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1977;"188,37"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1978;"187,9"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1979;"210,49"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1980;"216,8"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1981;"273,01"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1982;"264,69"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1983;"264,66"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1984;"246,39"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1985;"233,44"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1986;"221,52"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1987;"208,24"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1988;"235,16"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1989;"209,68"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1990;"177,62"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1991;"122,05"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1992;"58,55"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1993;"50,44"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1994;"56,25"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1995;"31,02"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1996;"45,68"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1997;"46,49"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1998;"47,79"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);1999;"34,27"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2000;"42,97"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2001;"57,71"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2002;"113,77"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2003;"147,33"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2004;"80,85"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2005;"74,23"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2006;"73,94"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2007;"102,01"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2008;"111,24"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2009;"104,6"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2010;"97,05"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2011;"133,08"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2012;"95,87"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2013;"109,14"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2014;"108,8"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2015;122
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2016;"138,03"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2017;"130,63"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2018;"131,83"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2019;"135,84"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2020;"136,3"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2021;"126,36"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2022;"127,84"
Bulgaria;Fertilizer consumption (kilograms per hectare of arable land);2023;"128,29"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1992;"151,42"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1993;"130,41"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1994;"174,82"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1995;"162,04"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1996;"205,17"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1997;"280,62"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1998;"161,97"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);1999;"181,84"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2000;"264,85"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2001;"205,86"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2002;"256,99"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2003;"292,8"
Croatia;Fertilizer consumption (kilograms per hectare of arable land);2004;"312,58"
