Area;Year;Fungicides and Bactericides;Herbicides;Insecticides;Pesticides (total)
Slovenia;2020;731;181;41;964
Slovenia;2021;669;170;52;907
Slovenia;2022;628;146;41;826
Slovenia;2023;526;119;40;695
Spain;1990;12312;13395;9194;39562
Spain;1991;11582;13747;9178;39147
Spain;1992;10248;12003;6742;31839
Spain;1993;9344;10579;5857;29408
Spain;1994;10355;7298;10646;31244
Spain;1995;9021;6326;9538;27852
Spain;1996;10165;8652;9758;33236
Spain;1997;11299;9153;9944;34023
Spain;1998;11984;9413;10173;35070
Spain;1999;10978;9066;9985;33614
Spain;2000;10528;9942;10470;34597
Spain;2001;7854;12138;11781;35700
Spain;2002;14467;10169;11630;40727
Spain;2003;14562;10528;11645;41586
Spain;2004;19572;12434;12452;47445
Spain;2005;14068;10216;14144;41017
Spain;2006;12957;10577;13438;39767
Spain;2007;12628;10973;12740;39286
Spain;2008;14068;10388;13294;40719
Spain;2009;11137;8781;12624;35199
Spain;2010;11878;10060;14335;39043
Spain;2011;31330;13835;8045;73112
Spain;2012;26777;13985;7638;63491
Spain;2013;32380;14713;6816;71448
Spain;2014;38297;14908;7575;78818
Spain;2015;36321;15587;6769;77217
Spain;2016;38905;15224;7609;76941
Spain;2017;37982;16077;16280;71987
Spain;2018;38067;16593;16862;73121
Spain;2019;34073;17023;7725;75190
Spain;2020;37916;20199;15891;75775
Spain;2021;41556;18388;9882;76174
Spain;2022;32094;12186;11034;56353
Spain;2023;23562;15131;9978;52907
Sweden;1990;590;1609;63;2310
Sweden;1991;708;1043;48;1841
Sweden;1992;468;945;53;1497
Sweden;1993;301;1097;30;1466
Sweden;1994;358;1507;53;1962
Sweden;1995;187;975;32;1225
Sweden;1996;240;1237;26;1529
Sweden;1997;187;1332;15;1534
Sweden;1998;226;1302;27;1555
Sweden;1999;260;1285;57;1602
Sweden;2000;285;1372;29;1721
Sweden;2001;289;1435;27;1789
Sweden;2002;235;1869;46;2198
Sweden;2003;260;2225;41;2549
Sweden;2004;295;1012;28;1353
Sweden;2005;286;1790;36;2132
Sweden;2006;260;1880;62;2220
Sweden;2007;266;1809;54;2157
Sweden;2008;344;1934;36;2352
Sweden;2009;265;1594;44;1935
Sweden;2010;241;1687;34;1982
Sweden;2011;218;2136;30;2416
Sweden;2012;235;2087;33;2381
Sweden;2013;332;1773;29;2178
Sweden;2014;302;2104;41;2493
Sweden;2015;398;1829;44;2321
Sweden;2016;249;1633;28;1956
Sweden;2017;265;1731;31;2061
Sweden;2018;223;1483;94;1871
Sweden;2019;164;1544;45;1801
Sweden;2020;222;1708;33;2047
Sweden;2021;247;1765;37;2138
Sweden;2022;255;1925;29;2338
Sweden;2023;212;1694;38;2033
Switzerland;1990;988;823;223;2282
Switzerland;1991;912;782;123;2056
Switzerland;1992;953;749;127;2019
Switzerland;1993;982;675;123;1935
Switzerland;1994;974;669;111;1923
Switzerland;1995;949;657;95;1826
Switzerland;1996;890;625;111;1746
Switzerland;1997;840;598;98;1644
Switzerland;1998;764;599;95;1564
Switzerland;1999;708;613;95;1527
Switzerland;2000;720;653;97;1577
Switzerland;2001;706;656;95;1562
Switzerland;2002;732;651;90;1527
Switzerland;2003;692;631;89;1477
Switzerland;2004;626;627;76;1391
Switzerland;2005;622;628;78;1388
Switzerland;2006;638;595;84;1359
Switzerland;2007;882;919;80;2099
Switzerland;2008;955;873;263;2237
Switzerland;2009;957;758;313;2224
Switzerland;2010;884;834;252;2148
Switzerland;2011;933;919;309;2274
Switzerland;2012;968;829;323;2221
Switzerland;2013;1013;783;346;2277
Switzerland;2014;1037;733;349;2233
Switzerland;2015;1034;693;271;2207
Switzerland;2016;996;621;315;2140
Switzerland;2017;979;595;282;2007
Switzerland;2018;979;629;261;2020
Switzerland;2019;954;509;318;1921
Switzerland;2020;980;499;290;1885
Switzerland;2021;1165;481;441;2220
Switzerland;2022;1013;518;505;2166
Switzerland;2023;716;429;248;1531
Turkey;1990;3602;6258;17652;29918
Turkey;1991;3990;7033;10414;24343
Turkey;1992;4025;7406;13125;27110
Turkey;1993;4171;9000;12266;28042
Turkey;1994;4733;6342;10871;24219
Turkey;1995;4937;4842;14639;27328
Turkey;1996;6765;5955;15138;30286
Turkey;1997;9034;7810;15161;34431
Turkey;1998;7549;5075;14325;30162
Turkey;1999;7159;8851;13505;33089
Turkey;2000;7777;6960;13910;33471
Turkey;2001;4046;5964;13169;25539
Turkey;2002;8534;6295;13086;27915
Turkey;2003;11296;9866;11913;33075
Turkey;2004;6356;8707;13768;28831
Turkey;2005;12584;11716;16032;40332
Turkey;2006;10721;8170;8530;27421
Turkey;2007;16707;6669;22012;48716
Turkey;2008;17863;6177;9988;37640
Turkey;2009;17863;5961;11447;37651
Turkey;2010;17396;7452;8216;38555
Turkey;2011;17546;7407;7182;39534
Turkey;2012;18124;7351;8123;42611
Turkey;2013;16248;7336;8599;39440
Turkey;2014;16674;7794;9099;39723
Turkey;2015;15984;7825;9693;39026
Turkey;2016;18326;3519;10728;49961
Turkey;2017;21831;11825;15172;53875
Turkey;2018;22933;14928;16722;59922
Turkey;2019;19333;7159;13530;51190
Turkey;2020;20508;13250;16936;53490
Turkey;2021;19413;13274;16462;52876
Turkey;2022;19626;14525;17094;55218
Turkey;2023;19551;15509;18619;57576
Ukraine;1992;16601;35926;14245;66772
Ukraine;1993;15243;33467;13134;61843
Ukraine;1994;13884;31008;12023;56915
Ukraine;1995;12526;28549;10912;51986
Ukraine;1996;11168;26090;9801;47058
Ukraine;1997;9809;23631;8689;42129
Ukraine;1998;8451;21172;7578;37201
Ukraine;1999;7092;18713;6467;32272
Ukraine;2000;5734;16254;5356;27344
Ukraine;2001;4376;13795;4245;22415
Ukraine;2002;3017;11335;3134;17487
Ukraine;2003;1659;8876;2023;12558
Ukraine;2004;2316;10491;2537;15344
Ukraine;2005;4122;14843;3332;23022
Ukraine;2006;4532;18818;4508;28775
Ukraine;2007;5777;22797;5676;35540
Ukraine;2008;8112;35254;8522;53228
Ukraine;2009;6528;21648;5903;35707
Ukraine;2010;10003;40978;8906;61892
Ukraine;2011;13801;50678;11150;78674
Ukraine;2012;11754;62187;12406;90050
Ukraine;2013;13316;52493;14703;85989
Ukraine;2014;10578;49953;12852;77294
Ukraine;2015;9134;41952;10090;64306
Ukraine;2016;7690;33952;7329;51319
Ukraine;2017;6246;25951;4567;38331
Ukraine;2018;4802;17951;1806;25343
Ukraine;2019;4925;16646;1903;24325
Ukraine;2020;4867;17660;1540;24622
Ukraine;2021;5515;19245;1542;26974
Ukraine;2022;3884;13927;1121;19435
Ukraine;2023;3954;13747;1229;19356
United Kingdom;1990;6689;18360;2083;29517
United Kingdom;1991;6518;18262;1854;29022
United Kingdom;1992;6918;19900;1553;31077
United Kingdom;1993;7203;20885;1611;32387
United Kingdom;1994;6649;22733;1771;33929
United Kingdom;1995;6563;22753;1667;33743
United Kingdom;1996;6846;24131;1654;35579
United Kingdom;1997;6759;24118;1663;35490
United Kingdom;1998;6651;24064;1554;35422
United Kingdom;1999;6764;24007;1616;35537
United Kingdom;2000;5182;22922;1732;33031
United Kingdom;2001;5183;22862;1644;32893
United Kingdom;2002;5005;21204;1571;30995
United Kingdom;2003;4986;21180;1381;30754
United Kingdom;2004;6186;20731;1274;31224
United Kingdom;2005;6201;20885;1287;31415
United Kingdom;2006;5958;12312;1491;22588
United Kingdom;2007;5947;12159;1397;22332
United Kingdom;2008;6361;10692;1279;21597
United Kingdom;2009;6336;10499;1237;21324
United Kingdom;2010;5680;7466;992;16771
United Kingdom;2011;8203;11604;3029;24427
United Kingdom;2012;6726;10979;704;20243
United Kingdom;2013;4165;10467;789;16601
United Kingdom;2014;7128;12419;959;22848
United Kingdom;2015;6032;11464;658;21446
United Kingdom;2016;5330;9810;348;18250
United Kingdom;2017;5484;9682;434;18525
United Kingdom;2018;4492;10892;132;18129
United Kingdom;2019;6057;9890;226;18993
United Kingdom;2020;5480;7226;388;15023
United Kingdom;2021;5470;7138;336;14794
United Kingdom;2022;5036;8907;330;16983
United Kingdom;2023;5036;8907;330;16983
